pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,9,0,36,0,,,,,108.48968579992652,109.48903119983152,109.48903119983152,109.48903119983152,109.48903119983152,109.50488829985261,110.48688839981332,110.48688839981332,x,1,0.5329256998375058,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,9,1,37,1,,,,,111.03580620000139,112.03485219995491,112.03485219995491,112.03485219995491,112.03485219995491,112.0513498999644,113.0332985999994,113.0332985999994,v,1,0.3988622999750078,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,9,2,38,2,,,,,113.4640656998381,114.45054119988345,114.45054119988345,114.45054119988345,114.45054119988345,114.46386589994654,115.44594100001268,115.44594100001268,c,1,0.4182750000618398,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,9,3,39,3,,,,,115.89377720002085,116.89325409987941,116.89325409987941,116.89325409987941,116.89325409987941,116.89325409987941,117.89184599998407,117.89184599998407,z,1,0.2433087001554668,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,10,0,40,0,,,,,118.15798929985613,119.15815729997121,119.15815729997121,119.15815729997121,119.15815729997121,119.17371889995411,120.1552460999228,120.1552460999228,x,1,0.4567011999897659,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,10,1,41,1,,,,,120.63792430004105,121.63647969998419,121.63647969998419,121.63647969998419,121.63647969998419,121.6530277999118,122.63463939982466,122.63463939982466,v,1,0.37824780005030334,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,10,2,42,2,,,,,123.03391380002722,124.0329805999063,124.0329805999063,124.0329805999063,124.0329805999063,124.04954459983855,125.03077630000189,125.03077630000189,c,1,0.26994249993003905,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,10,3,43,3,,,,,125.33050529984757,126.32995669986121,126.32995669986121,126.32995669986121,126.32995669986121,126.34594150003977,127.32725249999203,127.32725249999203,z,1,0.32830509985797107,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,11,0,44,0,,,,,127.67711799987592,128.67608739994466,128.67608739994466,128.67608739994466,128.67608739994466,128.6923485000152,129.6741131998133,129.6741131998133,x,1,0.3503022000659257,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,11,1,45,1,,,,,130.0568511998281,131.060828599846,131.060828599846,131.060828599846,131.060828599846,131.0866062999703,132.05617640004493,132.05617640004493,v,1,0.34625099995173514,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,11,2,46,2,,,,,132.41985289985314,133.4192202000413,133.4192202000413,133.4192202000413,133.4192202000413,133.43489859998226,134.4162979000248,134.4162979000248,c,1,0.3691245000809431,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,11,3,47,3,,,,,134.81633089995012,135.81975319981575,135.81975319981575,135.81975319981575,135.81975319981575,135.84625629987568,136.81280299997889,136.81280299997889,z,1,0.056972599821165204,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,12,0,48,0,,,,,136.89632749999873,137.89448409993201,137.89448409993201,137.89448409993201,137.89448409993201,137.9113209999632,138.89300189982168,138.89300189982168,x,1,0.25765130016952753,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,12,1,49,1,,,,,139.1754510998726,140.17439089994878,140.17439089994878,140.17439089994878,140.17439089994878,140.17439089994878,141.17166169988923,141.17166169988923,v,1,0.2774036000482738,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,12,2,50,2,,,,,141.53351959981956,142.5371391000226,142.5371391000226,142.5371391000226,142.5371391000226,142.5371391000226,143.53569029993378,143.53569029993378,c,1,0.2919469000771642,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
